annotation_id,image_id,image_file,image_height,image_width,category_id,category_name,bbox_x,bbox_y,bbox_width,bbox_height,area,iscrowd
22,2,7-2-2b_PNG.rf.0d589aeb314fc26b35290dfa32d01dcb.jpg,690,812,1,24V-power-cord,43,184,23,27,621,0
23,2,7-2-2b_PNG.rf.0d589aeb314fc26b35290dfa32d01dcb.jpg,690,812,1,24V-power-cord,150,180,36,34,1224,0
24,2,7-2-2b_PNG.rf.0d589aeb314fc26b35290dfa32d01dcb.jpg,690,812,1,24V-power-cord,275,177,32,37,1184,0
25,2,7-2-2b_PNG.rf.0d589aeb314fc26b35290dfa32d01dcb.jpg,690,812,16,fire-fan-manual-control-line,131,131,49,30,1470,0
26,2,7-2-2b_PNG.rf.0d589aeb314fc26b35290dfa32d01dcb.jpg,690,812,16,fire-fan-manual-control-line,261,130,64,36,2304,0
27,2,7-2-2b_PNG.rf.0d589aeb314fc26b35290dfa32d01dcb.jpg,690,812,16,fire-fan-manual-control-line,396,129,57,35,1995,0
28,2,7-2-2b_PNG.rf.0d589aeb314fc26b35290dfa32d01dcb.jpg,690,812,16,fire-fan-manual-control-line,550,127,45,35,1575,0
29,2,7-2-2b_PNG.rf.0d589aeb314fc26b35290dfa32d01dcb.jpg,690,812,16,fire-fan-manual-control-line,670,4,36,40,1440,0
30,2,7-2-2b_PNG.rf.0d589aeb314fc26b35290dfa32d01dcb.jpg,690,812,16,fire-fan-manual-control-line,671,132,37,59,2183,0
31,2,7-2-2b_PNG.rf.0d589aeb314fc26b35290dfa32d01dcb.jpg,690,812,16,fire-fan-manual-control-line,671,268,46,54,2484,0
32,2,7-2-2b_PNG.rf.0d589aeb314fc26b35290dfa32d01dcb.jpg,690,812,16,fire-fan-manual-control-line,663,405,41,58,2378,0
33,2,7-2-2b_PNG.rf.0d589aeb314fc26b35290dfa32d01dcb.jpg,690,812,16,fire-fan-manual-control-line,671,555,42,56,2352,0
34,2,7-2-2b_PNG.rf.0d589aeb314fc26b35290dfa32d01dcb.jpg,690,812,41,water-flow-indicator,160,408,29,28,812,0
35,2,7-2-2b_PNG.rf.0d589aeb314fc26b35290dfa32d01dcb.jpg,690,812,33,safety-signal-valve,191,410,29,22,638,0
36,2,7-2-2b_PNG.rf.0d589aeb314fc26b35290dfa32d01dcb.jpg,690,812,22,i-o-module,344,216,47,30,1410,0
37,2,7-2-2b_PNG.rf.0d589aeb314fc26b35290dfa32d01dcb.jpg,690,812,35,security-video-intercom-door-machine,356,248,34,35,1190,0
38,2,7-2-2b_PNG.rf.0d589aeb314fc26b35290dfa32d01dcb.jpg,690,812,8,dedicated-metal-module-box-for-fire-smoke-exhaust-fan,4,43,41,26,1066,0
39,2,7-2-2b_PNG.rf.0d589aeb314fc26b35290dfa32d01dcb.jpg,690,812,22,i-o-module,49,42,47,29,1363,0
40,2,7-2-2b_PNG.rf.0d589aeb314fc26b35290dfa32d01dcb.jpg,690,812,28,normally-open-smoke-exhaust-valve-with-280-operation,63,66,51,37,1887,0
41,2,7-2-2b_PNG.rf.0d589aeb314fc26b35290dfa32d01dcb.jpg,690,812,26,manual-automatic-switching-device,6,101,39,29,1131,0
42,3,5-2-3b_PNG.rf.077f9651b797a0f993b4fa49ccb2b5c2.jpg,692,813,9,dedicated-metal-module-box-for-fire-supplementary-fan,4,42,40,31,1240,0
43,3,5-2-3b_PNG.rf.077f9651b797a0f993b4fa49ccb2b5c2.jpg,692,813,9,dedicated-metal-module-box-for-fire-supplementary-fan,10,557,34,32,1088,0
44,3,5-2-3b_PNG.rf.077f9651b797a0f993b4fa49ccb2b5c2.jpg,692,813,26,manual-automatic-switching-device,5,108,39,24,936,0
45,3,5-2-3b_PNG.rf.077f9651b797a0f993b4fa49ccb2b5c2.jpg,692,813,26,manual-automatic-switching-device,6,622,36,21,756,0
46,3,5-2-3b_PNG.rf.077f9651b797a0f993b4fa49ccb2b5c2.jpg,692,813,16,fire-fan-manual-control-line,124,119,60,32,1920,0
47,3,5-2-3b_PNG.rf.077f9651b797a0f993b4fa49ccb2b5c2.jpg,692,813,16,fire-fan-manual-control-line,264,125,49,24,1176,0
48,3,5-2-3b_PNG.rf.077f9651b797a0f993b4fa49ccb2b5c2.jpg,692,813,16,fire-fan-manual-control-line,402,121,50,30,1500,0
49,3,5-2-3b_PNG.rf.077f9651b797a0f993b4fa49ccb2b5c2.jpg,692,813,16,fire-fan-manual-control-line,541,123,46,27,1242,0
50,3,5-2-3b_PNG.rf.077f9651b797a0f993b4fa49ccb2b5c2.jpg,692,813,16,fire-fan-manual-control-line,674,54,33,48,1584,0
51,3,5-2-3b_PNG.rf.077f9651b797a0f993b4fa49ccb2b5c2.jpg,692,813,16,fire-fan-manual-control-line,673,196,29,43,1247,0
52,3,5-2-3b_PNG.rf.077f9651b797a0f993b4fa49ccb2b5c2.jpg,692,813,16,fire-fan-manual-control-line,667,337,41,50,2050,0
53,3,5-2-3b_PNG.rf.077f9651b797a0f993b4fa49ccb2b5c2.jpg,692,813,16,fire-fan-manual-control-line,670,477,39,48,1872,0
54,3,5-2-3b_PNG.rf.077f9651b797a0f993b4fa49ccb2b5c2.jpg,692,813,16,fire-fan-manual-control-line,675,611,31,45,1395,0
55,3,5-2-3b_PNG.rf.077f9651b797a0f993b4fa49ccb2b5c2.jpg,692,813,16,fire-fan-manual-control-line,121,637,50,30,1500,0
56,3,5-2-3b_PNG.rf.077f9651b797a0f993b4fa49ccb2b5c2.jpg,692,813,16,fire-fan-manual-control-line,267,632,46,36,1656,0
57,3,5-2-3b_PNG.rf.077f9651b797a0f993b4fa49ccb2b5c2.jpg,692,813,16,fire-fan-manual-control-line,405,635,44,32,1408,0
58,3,5-2-3b_PNG.rf.077f9651b797a0f993b4fa49ccb2b5c2.jpg,692,813,16,fire-fan-manual-control-line,543,627,50,38,1900,0
59,4,6-2-2b_PNG.rf.099c8878c3a3a46c2830e8ae5744f7d2.jpg,697,814,16,fire-fan-manual-control-line,126,123,64,32,2048,0
60,4,6-2-2b_PNG.rf.099c8878c3a3a46c2830e8ae5744f7d2.jpg,697,814,16,fire-fan-manual-control-line,266,123,60,29,1740,0
61,4,6-2-2b_PNG.rf.099c8878c3a3a46c2830e8ae5744f7d2.jpg,697,814,16,fire-fan-manual-control-line,371,109,95,44,4180,0
62,4,6-2-2b_PNG.rf.099c8878c3a3a46c2830e8ae5744f7d2.jpg,697,814,16,fire-fan-manual-control-line,540,116,62,35,2170,0
63,4,6-2-2b_PNG.rf.099c8878c3a3a46c2830e8ae5744f7d2.jpg,697,814,16,fire-fan-manual-control-line,666,233,50,48,2400,0
64,4,6-2-2b_PNG.rf.099c8878c3a3a46c2830e8ae5744f7d2.jpg,697,814,16,fire-fan-manual-control-line,667,369,41,61,2501,0
65,4,6-2-2b_PNG.rf.099c8878c3a3a46c2830e8ae5744f7d2.jpg,697,814,16,fire-fan-manual-control-line,674,519,33,43,1419,0
66,4,6-2-2b_PNG.rf.099c8878c3a3a46c2830e8ae5744f7d2.jpg,697,814,16,fire-fan-manual-control-line,671,655,32,41,1312,0
67,4,6-2-2b_PNG.rf.099c8878c3a3a46c2830e8ae5744f7d2.jpg,697,814,16,fire-fan-manual-control-line,547,477,48,28,1344,0
68,4,6-2-2b_PNG.rf.099c8878c3a3a46c2830e8ae5744f7d2.jpg,697,814,16,fire-fan-manual-control-line,408,478,44,25,1100,0
69,4,6-2-2b_PNG.rf.099c8878c3a3a46c2830e8ae5744f7d2.jpg,697,814,16,fire-fan-manual-control-line,269,473,51,31,1581,0
70,4,6-2-2b_PNG.rf.099c8878c3a3a46c2830e8ae5744f7d2.jpg,697,814,16,fire-fan-manual-control-line,121,474,61,28,1708,0
71,4,6-2-2b_PNG.rf.099c8878c3a3a46c2830e8ae5744f7d2.jpg,697,814,16,fire-fan-manual-control-line,125,287,58,33,1914,0
72,4,6-2-2b_PNG.rf.099c8878c3a3a46c2830e8ae5744f7d2.jpg,697,814,16,fire-fan-manual-control-line,260,289,52,31,1612,0
73,4,6-2-2b_PNG.rf.099c8878c3a3a46c2830e8ae5744f7d2.jpg,697,814,16,fire-fan-manual-control-line,408,283,50,38,1900,0
74,4,6-2-2b_PNG.rf.099c8878c3a3a46c2830e8ae5744f7d2.jpg,697,814,16,fire-fan-manual-control-line,542,289,58,34,1972,0
75,4,6-2-2b_PNG.rf.099c8878c3a3a46c2830e8ae5744f7d2.jpg,697,814,9,dedicated-metal-module-box-for-fire-supplementary-fan,5,38,40,33,1320,0
76,4,6-2-2b_PNG.rf.099c8878c3a3a46c2830e8ae5744f7d2.jpg,697,814,9,dedicated-metal-module-box-for-fire-supplementary-fan,6,212,37,28,1036,0
77,4,6-2-2b_PNG.rf.099c8878c3a3a46c2830e8ae5744f7d2.jpg,697,814,8,dedicated-metal-module-box-for-fire-smoke-exhaust-fan,8,383,36,30,1080,0
78,4,6-2-2b_PNG.rf.099c8878c3a3a46c2830e8ae5744f7d2.jpg,697,814,26,manual-automatic-switching-device,1,107,44,20,880,0
79,4,6-2-2b_PNG.rf.099c8878c3a3a46c2830e8ae5744f7d2.jpg,697,814,26,manual-automatic-switching-device,5,278,41,20,820,0
80,4,6-2-2b_PNG.rf.099c8878c3a3a46c2830e8ae5744f7d2.jpg,697,814,26,manual-automatic-switching-device,5,444,37,27,999,0
81,4,6-2-2b_PNG.rf.099c8878c3a3a46c2830e8ae5744f7d2.jpg,697,814,22,i-o-module,54,386,39,26,1014,0
82,4,6-2-2b_PNG.rf.099c8878c3a3a46c2830e8ae5744f7d2.jpg,697,814,22,i-o-module,302,385,38,28,1064,0
83,4,6-2-2b_PNG.rf.099c8878c3a3a46c2830e8ae5744f7d2.jpg,697,814,22,i-o-module,151,560,41,23,943,0
84,4,6-2-2b_PNG.rf.099c8878c3a3a46c2830e8ae5744f7d2.jpg,697,814,22,i-o-module,298,555,41,24,984,0
85,4,6-2-2b_PNG.rf.099c8878c3a3a46c2830e8ae5744f7d2.jpg,697,814,28,normally-open-smoke-exhaust-valve-with-280-operation,61,415,52,29,1508,0
86,4,6-2-2b_PNG.rf.099c8878c3a3a46c2830e8ae5744f7d2.jpg,697,814,28,normally-open-smoke-exhaust-valve-with-280-operation,114,585,41,32,1312,0
87,4,6-2-2b_PNG.rf.099c8878c3a3a46c2830e8ae5744f7d2.jpg,697,814,39,video-intercom-card-reader,304,583,33,26,858,0
88,4,6-2-2b_PNG.rf.099c8878c3a3a46c2830e8ae5744f7d2.jpg,697,814,39,video-intercom-card-reader,304,411,34,30,1020,0
89,4,6-2-2b_PNG.rf.099c8878c3a3a46c2830e8ae5744f7d2.jpg,697,814,36,smoke-vent,156,583,49,39,1911,0
90,4,6-2-2b_PNG.rf.099c8878c3a3a46c2830e8ae5744f7d2.jpg,697,814,23,input-module,98,551,42,32,1344,0
91,5,1-1-1a_PNG.rf.0c45d352bc02fadbde5d5565e59b64ce.jpg,688,765,1,24V-power-cord,136,141,23,19,437,0
92,5,1-1-1a_PNG.rf.0c45d352bc02fadbde5d5565e59b64ce.jpg,688,765,1,24V-power-cord,360,17,28,31,868,0
93,5,1-1-1a_PNG.rf.0c45d352bc02fadbde5d5565e59b64ce.jpg,688,765,1,24V-power-cord,473,18,31,26,806,0
94,5,1-1-1a_PNG.rf.0c45d352bc02fadbde5d5565e59b64ce.jpg,688,765,1,24V-power-cord,600,20,21,27,567,0
95,5,1-1-1a_PNG.rf.0c45d352bc02fadbde5d5565e59b64ce.jpg,688,765,1,24V-power-cord,134,255,29,25,725,0
96,5,1-1-1a_PNG.rf.0c45d352bc02fadbde5d5565e59b64ce.jpg,688,765,1,24V-power-cord,371,191,24,26,624,0
97,5,1-1-1a_PNG.rf.0c45d352bc02fadbde5d5565e59b64ce.jpg,688,765,1,24V-power-cord,485,190,29,29,841,0
98,5,1-1-1a_PNG.rf.0c45d352bc02fadbde5d5565e59b64ce.jpg,688,765,1,24V-power-cord,607,192,28,30,840,0
99,5,1-1-1a_PNG.rf.0c45d352bc02fadbde5d5565e59b64ce.jpg,688,765,1,24V-power-cord,722,190,27,28,756,0
100,5,1-1-1a_PNG.rf.0c45d352bc02fadbde5d5565e59b64ce.jpg,688,765,1,24V-power-cord,135,370,27,27,729,0
101,5,1-1-1a_PNG.rf.0c45d352bc02fadbde5d5565e59b64ce.jpg,688,765,1,24V-power-cord,364,359,27,30,810,0
102,5,1-1-1a_PNG.rf.0c45d352bc02fadbde5d5565e59b64ce.jpg,688,765,1,24V-power-cord,483,358,22,30,660,0
103,5,1-1-1a_PNG.rf.0c45d352bc02fadbde5d5565e59b64ce.jpg,688,765,1,24V-power-cord,601,360,25,32,800,0
104,5,1-1-1a_PNG.rf.0c45d352bc02fadbde5d5565e59b64ce.jpg,688,765,1,24V-power-cord,720,361,23,32,736,0
105,5,1-1-1a_PNG.rf.0c45d352bc02fadbde5d5565e59b64ce.jpg,688,765,1,24V-power-cord,133,491,30,23,690,0
106,5,1-1-1a_PNG.rf.0c45d352bc02fadbde5d5565e59b64ce.jpg,688,765,1,24V-power-cord,132,609,31,25,775,0
107,5,1-1-1a_PNG.rf.0c45d352bc02fadbde5d5565e59b64ce.jpg,688,765,1,24V-power-cord,363,529,19,33,627,0
108,5,1-1-1a_PNG.rf.0c45d352bc02fadbde5d5565e59b64ce.jpg,688,765,1,24V-power-cord,480,533,24,31,744,0
109,5,1-1-1a_PNG.rf.0c45d352bc02fadbde5d5565e59b64ce.jpg,688,765,1,24V-power-cord,598,534,20,31,620,0
110,5,1-1-1a_PNG.rf.0c45d352bc02fadbde5d5565e59b64ce.jpg,688,765,4,bus-isolation-module,250,53,24,29,696,0
111,5,1-1-1a_PNG.rf.0c45d352bc02fadbde5d5565e59b64ce.jpg,688,765,4,bus-isolation-module,250,227,22,25,550,0
112,5,1-1-1a_PNG.rf.0c45d352bc02fadbde5d5565e59b64ce.jpg,688,765,4,bus-isolation-module,249,397,24,28,672,0
113,5,1-1-1a_PNG.rf.0c45d352bc02fadbde5d5565e59b64ce.jpg,688,765,4,bus-isolation-module,248,567,26,30,780,0
114,5,1-1-1a_PNG.rf.0c45d352bc02fadbde5d5565e59b64ce.jpg,688,765,5,coded-smoke-detector,307,54,25,32,800,0
115,5,1-1-1a_PNG.rf.0c45d352bc02fadbde5d5565e59b64ce.jpg,688,765,5,coded-smoke-detector,307,225,25,30,750,0
116,5,1-1-1a_PNG.rf.0c45d352bc02fadbde5d5565e59b64ce.jpg,688,765,5,coded-smoke-detector,307,396,27,28,756,0
117,5,1-1-1a_PNG.rf.0c45d352bc02fadbde5d5565e59b64ce.jpg,688,765,5,coded-smoke-detector,307,568,28,29,812,0
118,5,1-1-1a_PNG.rf.0c45d352bc02fadbde5d5565e59b64ce.jpg,688,765,6,coded-temperature-detector,368,55,24,28,672,0
119,5,1-1-1a_PNG.rf.0c45d352bc02fadbde5d5565e59b64ce.jpg,688,765,6,coded-temperature-detector,367,227,25,25,625,0
120,5,1-1-1a_PNG.rf.0c45d352bc02fadbde5d5565e59b64ce.jpg,688,765,6,coded-temperature-detector,363,397,31,29,899,0
121,5,1-1-1a_PNG.rf.0c45d352bc02fadbde5d5565e59b64ce.jpg,688,765,17,fire-hydrant-button,491,54,26,29,754,0
122,5,1-1-1a_PNG.rf.0c45d352bc02fadbde5d5565e59b64ce.jpg,688,765,17,fire-hydrant-button,501,227,28,29,812,0
123,5,1-1-1a_PNG.rf.0c45d352bc02fadbde5d5565e59b64ce.jpg,688,765,17,fire-hydrant-button,490,396,30,28,840,0
124,5,1-1-1a_PNG.rf.0c45d352bc02fadbde5d5565e59b64ce.jpg,688,765,17,fire-hydrant-button,491,569,30,29,870,0
125,5,1-1-1a_PNG.rf.0c45d352bc02fadbde5d5565e59b64ce.jpg,688,765,25,manual-alarm-button-with-fire-telephone-jack,415,570,30.83,27.5,847.825,0
126,5,1-1-1a_PNG.rf.0c45d352bc02fadbde5d5565e59b64ce.jpg,688,765,22,i-o-module,668,52,42.5,30,1275,0
127,5,1-1-1a_PNG.rf.0c45d352bc02fadbde5d5565e59b64ce.jpg,688,765,22,i-o-module,669,226,41.67,27.5,1145.925,0
128,5,1-1-1a_PNG.rf.0c45d352bc02fadbde5d5565e59b64ce.jpg,688,765,22,i-o-module,669,571,40,24.17,966.8,0
129,5,1-1-1a_PNG.rf.0c45d352bc02fadbde5d5565e59b64ce.jpg,688,765,34,secondary-fire-shutter-door-control-box,675,83,28.33,25,708.25,0
130,5,1-1-1a_PNG.rf.0c45d352bc02fadbde5d5565e59b64ce.jpg,688,765,34,secondary-fire-shutter-door-control-box,674,255,35,26.67,933.45,0
131,5,1-1-1a_PNG.rf.0c45d352bc02fadbde5d5565e59b64ce.jpg,688,765,34,secondary-fire-shutter-door-control-box,675,599,27.5,26.67,733.425,0
132,5,1-1-1a_PNG.rf.0c45d352bc02fadbde5d5565e59b64ce.jpg,688,765,2,acousto-optic-alarm,619,566,35,29.17,1020.95,0
133,6,10-1-3a_PNG.rf.0c37ba2e146f470b542129119ba42605.jpg,609,829,1,24V-power-cord,357,38,21.67,28.33,613.911,0
134,6,10-1-3a_PNG.rf.0c37ba2e146f470b542129119ba42605.jpg,609,829,1,24V-power-cord,470,38,22.5,25.83,581.175,0
135,6,10-1-3a_PNG.rf.0c37ba2e146f470b542129119ba42605.jpg,609,829,1,24V-power-cord,587,35,24.17,29.17,705.039,0
136,6,10-1-3a_PNG.rf.0c37ba2e146f470b542129119ba42605.jpg,609,829,1,24V-power-cord,144,23,25.83,15.83,408.889,0
137,6,10-1-3a_PNG.rf.0c37ba2e146f470b542129119ba42605.jpg,609,829,1,24V-power-cord,125,29,24.17,21.67,523.764,0
138,6,10-1-3a_PNG.rf.0c37ba2e146f470b542129119ba42605.jpg,609,829,1,24V-power-cord,146,135,23.33,23.33,544.289,0
139,6,10-1-3a_PNG.rf.0c37ba2e146f470b542129119ba42605.jpg,609,829,1,24V-power-cord,123,143,29.17,21.67,632.114,0
140,6,10-1-3a_PNG.rf.0c37ba2e146f470b542129119ba42605.jpg,609,829,2,acousto-optic-alarm,613,73,37.5,30.83,1156.125,0
141,6,10-1-3a_PNG.rf.0c37ba2e146f470b542129119ba42605.jpg,609,829,3,area-display,214,143,35,23.33,816.55,0
142,6,10-1-3a_PNG.rf.0c37ba2e146f470b542129119ba42605.jpg,609,829,4,bus-isolation-module,237,71,31.67,28.33,897.211,0
143,6,10-1-3a_PNG.rf.0c37ba2e146f470b542129119ba42605.jpg,609,829,5,coded-smoke-detector,292,70,31.67,35,1108.45,0
144,6,10-1-3a_PNG.rf.0c37ba2e146f470b542129119ba42605.jpg,609,829,6,coded-temperature-detector,353,72,31.67,31.67,1002.989,0
145,6,10-1-3a_PNG.rf.0c37ba2e146f470b542129119ba42605.jpg,609,829,17,fire-hydrant-button,493,73,29.17,28.33,826.386,0
146,6,10-1-3a_PNG.rf.0c37ba2e146f470b542129119ba42605.jpg,609,829,25,manual-alarm-button-with-fire-telephone-jack,407,69,26.67,32.5,866.775,0
147,6,10-1-3a_PNG.rf.0c37ba2e146f470b542129119ba42605.jpg,609,829,22,i-o-module,663,73,40,24.17,966.8,0
148,6,10-1-3a_PNG.rf.0c37ba2e146f470b542129119ba42605.jpg,609,829,34,secondary-fire-shutter-door-control-box,665,100,34.17,30,1025.1,0
149,7,4-1-3a_PNG.rf.12aec2c2ce973a330145a89c5a95b9f8.jpg,617,798,1,24V-power-cord,387,28,20,27.5,550,0
150,7,4-1-3a_PNG.rf.12aec2c2ce973a330145a89c5a95b9f8.jpg,617,798,1,24V-power-cord,507,33,22.5,23.33,524.925,0
151,7,4-1-3a_PNG.rf.12aec2c2ce973a330145a89c5a95b9f8.jpg,617,798,1,24V-power-cord,625,195,22.5,37.5,843.75,0
152,7,4-1-3a_PNG.rf.12aec2c2ce973a330145a89c5a95b9f8.jpg,617,798,1,24V-power-cord,739,202,24.17,27.5,664.675,0
153,7,4-1-3a_PNG.rf.12aec2c2ce973a330145a89c5a95b9f8.jpg,617,798,1,24V-power-cord,499,197,33.33,29.17,972.236,0
154,7,4-1-3a_PNG.rf.12aec2c2ce973a330145a89c5a95b9f8.jpg,617,798,1,24V-power-cord,386,199,30,32.5,975,0
155,7,4-1-3a_PNG.rf.12aec2c2ce973a330145a89c5a95b9f8.jpg,617,798,1,24V-power-cord,144,66,28.33,15.83,448.464,0
156,7,4-1-3a_PNG.rf.12aec2c2ce973a330145a89c5a95b9f8.jpg,617,798,1,24V-power-cord,126,81,26.67,18.33,488.861,0
157,7,4-1-3a_PNG.rf.12aec2c2ce973a330145a89c5a95b9f8.jpg,617,798,1,24V-power-cord,146,181,24.17,22.5,543.825,0
158,7,4-1-3a_PNG.rf.12aec2c2ce973a330145a89c5a95b9f8.jpg,617,798,1,24V-power-cord,129,197,21.67,20.83,451.386,0
159,7,4-1-3a_PNG.rf.12aec2c2ce973a330145a89c5a95b9f8.jpg,617,798,1,24V-power-cord,147,303,21.67,16.67,361.239,0
160,7,4-1-3a_PNG.rf.12aec2c2ce973a330145a89c5a95b9f8.jpg,617,798,1,24V-power-cord,125,314,24.17,20.83,503.461,0
161,7,4-1-3a_PNG.rf.12aec2c2ce973a330145a89c5a95b9f8.jpg,617,798,3,area-display,216,302,26.67,26.67,711.289,0
162,7,4-1-3a_PNG.rf.12aec2c2ce973a330145a89c5a95b9f8.jpg,617,798,2,acousto-optic-alarm,614,65,32.5,25,812.5,0
163,7,4-1-3a_PNG.rf.12aec2c2ce973a330145a89c5a95b9f8.jpg,617,798,4,bus-isolation-module,238,61,30.83,30.83,950.489,0
164,7,4-1-3a_PNG.rf.12aec2c2ce973a330145a89c5a95b9f8.jpg,617,798,4,bus-isolation-module,240,233,27.5,27.5,756.25,0
165,7,4-1-3a_PNG.rf.12aec2c2ce973a330145a89c5a95b9f8.jpg,617,798,5,coded-smoke-detector,297,62,30,32.5,975,0
166,7,4-1-3a_PNG.rf.12aec2c2ce973a330145a89c5a95b9f8.jpg,617,798,5,coded-smoke-detector,294,234,33.33,30.83,1027.564,0
167,7,4-1-3a_PNG.rf.12aec2c2ce973a330145a89c5a95b9f8.jpg,617,798,6,coded-temperature-detector,355,58,35,37.5,1312.5,0
168,7,4-1-3a_PNG.rf.12aec2c2ce973a330145a89c5a95b9f8.jpg,617,798,6,coded-temperature-detector,357,233,27.5,33.33,916.575,0
169,7,4-1-3a_PNG.rf.12aec2c2ce973a330145a89c5a95b9f8.jpg,617,798,17,fire-hydrant-button,492,64,30.83,26.67,822.236,0
170,7,4-1-3a_PNG.rf.12aec2c2ce973a330145a89c5a95b9f8.jpg,617,798,17,fire-hydrant-button,488,237,37.5,29.17,1093.875,0
171,7,4-1-3a_PNG.rf.12aec2c2ce973a330145a89c5a95b9f8.jpg,617,798,25,manual-alarm-button-with-fire-telephone-jack,407,63,33.33,28.33,944.239,0
172,7,4-1-3a_PNG.rf.12aec2c2ce973a330145a89c5a95b9f8.jpg,617,798,22,i-o-module,718,239,38.33,23.33,894.239,0
173,8,8-2-2a_PNG.rf.0e38c4a2adf016223752d908c820f165.jpg,686,805,1,24V-power-cord,365,4,20,26,520,0
174,8,8-2-2a_PNG.rf.0e38c4a2adf016223752d908c820f165.jpg,686,805,1,24V-power-cord,484,4,23,24,552,0
175,8,8-2-2a_PNG.rf.0e38c4a2adf016223752d908c820f165.jpg,686,805,1,24V-power-cord,593,4,26,26,676,0
176,8,8-2-2a_PNG.rf.0e38c4a2adf016223752d908c820f165.jpg,686,805,1,24V-power-cord,709,4,31,29,899,0
177,8,8-2-2a_PNG.rf.0e38c4a2adf016223752d908c820f165.jpg,686,805,1,24V-power-cord,148,30,22,15,330,0
178,8,8-2-2a_PNG.rf.0e38c4a2adf016223752d908c820f165.jpg,686,805,1,24V-power-cord,117,32,36,19,684,0
179,8,8-2-2a_PNG.rf.0e38c4a2adf016223752d908c820f165.jpg,686,805,1,24V-power-cord,148,140,19,23,437,0
180,8,8-2-2a_PNG.rf.0e38c4a2adf016223752d908c820f165.jpg,686,805,1,24V-power-cord,121,154,30,18,540,0
181,8,8-2-2a_PNG.rf.0e38c4a2adf016223752d908c820f165.jpg,686,805,1,24V-power-cord,144,259,23,22,506,0
182,8,8-2-2a_PNG.rf.0e38c4a2adf016223752d908c820f165.jpg,686,805,1,24V-power-cord,121,269,26,24,624,0
